0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:37 +0800] "POST /bos-web/json/subarea.json HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:37 +0800] "GET /bos-web/page_base_staff.action HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:37 +0800] "POST /bos-web/staffAction_pageQuery.action HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:40 +0800] "GET /bos-web/page_base_staff.action HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:40 +0800] "POST /bos-web/staffAction_pageQuery.action HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:41 +0800] "GET /bos-web/page_base_region.action HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:41 +0800] "POST /bos-web/json/region.json HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:53 +0800] "GET /bos-web/page_admin_userlist.action HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:53 +0800] "POST /bos-web/json/users.json HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:55 +0800] "GET /bos-web/page_admin_function.action HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:22:57 +0800] "GET /bos-web/page_admin_role.action HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:09 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
