0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:11 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:13 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:15 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:17 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:18 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:38 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:36:41 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:39:26 +0800] "GET /bos-web/easyui/05-ztree2.JSP HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:39:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:39:38 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 5109
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:39:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:39:39 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:08 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 5137
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:08 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:10 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:12 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:14 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:40:16 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
