0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:22 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:25 +0800] "GET /HeimaShop/product?method=productList&cid=1 HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "GET /HeimaShop/product?method=productInfo&pid=1&cid=1&currentPage=1 HTTP/1.1" 200 8241
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "GET /HeimaShop/images/product.gif HTTP/1.1" 200 9153
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:26 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:27 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=1&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:27 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:27 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:27 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:27 +0800] "GET /HeimaShop/images/register.gif HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:29 +0800] "GET /HeimaShop/product?method=productList&cid=2 HTTP/1.1" 200 11683
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:29 +0800] "GET /HeimaShop/products/1/c_0031.jpg HTTP/1.1" 200 16384
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:29 +0800] "GET /HeimaShop/products/1/c_0032.jpg HTTP/1.1" 200 9863
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:29 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:30 +0800] "GET /HeimaShop/product?method=productInfo&pid=32&cid=2&currentPage=1 HTTP/1.1" 200 8262
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:30 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:31 +0800] "GET /HeimaShop/product?method=addProductToCart&pid=32&buyNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:31 +0800] "GET /HeimaShop/cart.jsp HTTP/1.1" 200 7256
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:31 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/product?method=submitOrder HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/order_info.jsp HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/bank_img/icbc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/bank_img/bc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/bank_img/abc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/bank_img/bcc.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /HeimaShop/bank_img/pingan.bmp HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:33 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:36 +0800] "GET /HeimaShop/product?method=myOrders HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:27:36 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
